Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,1,20,decoding,10.096130163375,372.255228777259,335.00665983239884,197.68436867858645
Llama2-13B,20,4096,1,20,end2end,10.942966038142858,401.4585202072453,333.7572718125782,214.565056045392
Llama2-13B,20,4096,1,20,prefill,0.8468358747678572,605.8815602171497,325.0115556738336,332.72986761303093
Llama2-13B,20,4096,2,10,decoding,10.233731983374998,733.5074604223182,194.82136988146203,222.69931758531007
Llama2-13B,20,4096,2,10,end2end,11.100225261,789.8390862098365,193.5926851851574,240.00181812521083
Llama2-13B,20,4096,2,10,prefill,0.866493277625,1184.1604667224651,184.99189231102503,361.1193219045165
Llama2-13B,20,4096,4,5,decoding,11.38360317975,1312.9526687411328,166.76495054557296,318.7290367307842
Llama2-13B,20,4096,4,5,end2end,12.394527428285713,1402.442444424743,165.44951154850645,337.90866626762227
Llama2-13B,20,4096,4,5,prefill,1.0109242485357142,2028.8708742100123,156.241438569041,472.1660730254887
Llama2-13B,20,4096,5,4,decoding,12.1560412755,1529.3811293645838,170.15822951696904,367.2036132208552
Llama2-13B,20,4096,5,4,end2end,13.270701709142855,1625.6412038168226,168.8124921980809,386.5326288007973
Llama2-13B,20,4096,5,4,prefill,1.114660433642857,2299.461724982495,159.39233096586355,521.8357378603922
Llama2-13B,20,4096,10,2,decoding,14.760046332625,2499.397908207816,147.99415650194695,480.7289182755229
Llama2-13B,20,4096,10,2,end2end,16.19381057442857,2633.679078579456,146.39361061437563,498.43062944057607
Llama2-13B,20,4096,10,2,prefill,1.4337642418035716,3573.6472711809347,135.1897894013762,622.3426075959483
Llama2-13B,20,4096,20,1,decoding,20.41009614575,3579.174533738768,144.2425306979877,612.502830371721
Llama2-13B,20,4096,20,1,end2end,22.54521653228572,3731.4743531828126,142.12614488425217,624.924637392276
Llama2-13B,20,4096,20,1,prefill,2.1351203865357147,4797.573089291123,127.31144418810356,711.8772865361611
Llama2-13B,20,4096,40,1,decoding,37.24922190475,3931.419968777708,138.13596238515962,615.0124813117627
Llama2-13B,20,4096,40,1,end2end,41.064279205428576,4111.441216820385,136.24296246573346,628.2338130322912
Llama2-13B,20,4096,40,1,prefill,3.815057300678572,5371.589953119132,122.9919630297502,720.78313507599
Llama2-70B,32,4096,1,32,decoding,36.64332598475996,103.61971733658274,1838.7102452151737,299.0386093707022
Llama2-70B,32,4096,1,32,end2end,39.54523977897829,112.78097806385892,1830.942644622367,331.17329124201984
Llama2-70B,32,4096,1,32,prefill,2.900205166,176.96348241686616,1776.5239271879973,556.3043534928331
Llama2-70B,32,4096,2,16,decoding,37.5541670365,201.61031768387244,1156.224980195184,356.1371139742141
Llama2-70B,32,4096,2,16,end2end,40.585077756000004,218.73345216532385,1148.5596783289839,389.9209741141304
Llama2-70B,32,4096,2,16,prefill,3.0309107195,338.5953935354835,1094.9025652655837,626.4079950935438
Llama2-70B,32,4096,4,8,decoding,40.29753337375001,372.8889856908213,899.2418272402792,484.34653759134096
Llama2-70B,32,4096,4,8,end2end,43.72035357000001,401.1988879188834,891.6295258822802,520.0232389540815
Llama2-70B,32,4096,4,8,prefill,3.42282019625,599.3682035153176,838.3434163762875,769.7601484932659
Llama2-70B,32,4096,8,4,decoding,47.17347299575,630.8980663666958,797.8334790759503,671.044204951478
Llama2-70B,32,4096,8,4,end2end,51.501144178000004,670.4716598968491,789.8945073254537,705.104796287462
Llama2-70B,32,4096,8,4,prefill,4.3276711822500005,947.4868146079216,734.3217050719768,943.5289356393504
Llama2-70B,32,4096,16,2,decoding,61.00615060162498,963.4923924116764,751.6288653093559,880.3786509050832
Llama2-70B,32,4096,16,2,end2end,67.15506637899999,1009.6780393729134,742.9968023927131,907.0810941970058
Llama2-70B,32,4096,16,2,prefill,6.148915777375,1332.9775681015724,682.5723619762125,1093.998197240464
Llama2-70B,32,4096,32,1,decoding,89.32683199909046,1301.5870582268035,742.2570032871639,1077.879568913268
Llama2-70B,32,4096,32,1,end2end,99.2054057463779,1346.2140735770363,732.1966243418436,1093.1243854326344
Llama2-70B,32,4096,32,1,prefill,9.8848702570625,1657.8232914400196,661.9497841721895,1199.5716867989313
Llama2-70B,32,4096,80,1,decoding,251.7986523236595,1150.497665242318,698.9815306756102,862.2241097635432
Llama2-70B,32,4096,80,1,end2end,280.7584933872424,1183.8441233629817,693.4361909706082,874.2120624521118
Llama2-70B,32,4096,80,1,prefill,28.740734970374994,1425.6059447377925,653.2324781093446,961.1247194442334
Llama2-7B,8,4096,1,8,decoding,6.262046779083334,598.4995371934425,100.18001743001848,92.91892398275644
Llama2-7B,8,4096,1,8,end2end,6.795989644666666,643.7881061593116,99.57566877453571,99.7223290685128
Llama2-7B,8,4096,1,8,prefill,0.5339428655833333,960.8080889203944,95.3452281861561,147.34616466880732
Llama2-7B,8,4096,2,4,decoding,7.068363813833333,1055.4839349060908,86.06135912299037,131.87660527062343
Llama2-7B,8,4096,2,4,end2end,7.700567814666667,1126.3012238395554,85.37944676364404,139.4197709620297
Llama2-7B,8,4096,2,4,prefill,0.6322040008333333,1622.0222463738078,80.6060602482197,192.22193080187384
Llama2-7B,8,4096,4,2,decoding,8.587077300166667,1723.206069633077,77.55877882162312,179.2614247446076
Llama2-7B,8,4096,4,2,end2end,9.402386345333332,1822.063566614493,76.71378897831956,186.57964822153275
Llama2-7B,8,4096,4,2,prefill,0.8153090451666666,2514.066045484409,70.79886007519467,237.8072125600088
Llama2-7B,8,4096,8,1,decoding,11.749399504833336,2493.220509006737,76.49408510354553,234.13301486416728
Llama2-7B,8,4096,8,1,end2end,12.948760814666668,2608.6293736474013,75.31891343059682,239.6288334515293
Llama2-7B,8,4096,8,1,prefill,1.1993613098333331,3416.4914261320523,67.09271171995604,278.09956356306327
Llama2-7B,8,4096,32,1,decoding,41.35549496713889,2850.5482024687904,71.45573510579145,234.7322088866669
Llama2-7B,8,4096,32,1,end2end,45.36905090644445,3005.0137438295624,70.31356354768414,240.72334685561103
Llama2-7B,8,4096,32,1,prefill,4.013555939305555,4086.272533354968,62.31836264093303,282.66131263822024
