Model,Device number,Data parallelism,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency,Throughput,Token energy,Total power,Device utilization
Llama2-70B,16,1,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,711.029156692432,678.5906654635105,516.6522252771053,1.0
Llama2-70B,20,1,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,949.9941728744225,669.306096593316,684.369759366737,1.0
Llama2-70B,24,1,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,949.9941728744225,669.306096593316,684.369759366737,0.8333333333333334
Llama2-70B,28,1,80,1,32,10,2048,0.79014,0.0012051998901367188,0.04946099999999999,0.8408061998901366,0.382388,67.79688399121095,1179.995234152222,690.2691623372527,873.6036175073439,0.9642857142857143
Llama2-70B,32,2,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,1422.058313384864,678.5906654635105,1033.3044505542107,1.0
Llama2-70B,36,2,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,1422.058313384864,678.5906654635105,1033.3044505542107,0.8888888888888888
Llama2-70B,40,1,80,1,32,16,2048,0.502329,0.001888666483561198,0.032973999999999996,0.5371916664835612,0.238004,43.36333731868489,1844.8764543205184,687.996294377446,1369.6129317189452,1.0
Llama2-70B,44,1,80,1,32,16,2048,0.502329,0.001888666483561198,0.032973999999999996,0.5371916664835612,0.238004,43.36333731868489,1844.8764543205184,687.996294377446,1369.6129317189452,0.9090909090909091
Llama2-70B,48,2,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,1899.988345748845,669.306096593316,1368.739518733474,0.8333333333333334
Llama2-70B,52,2,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,1899.988345748845,669.306096593316,1368.739518733474,0.7692307692307693
Llama2-70B,56,2,80,1,32,10,2048,0.79014,0.0012051998901367188,0.04946099999999999,0.8408061998901366,0.382388,67.79688399121095,2359.990468304444,690.2691623372527,1747.2072350146877,0.9642857142857143
Llama2-70B,60,2,80,1,32,10,2048,0.79014,0.0012051998901367188,0.04946099999999999,0.8408061998901366,0.382388,67.79688399121095,2359.990468304444,690.2691623372527,1747.2072350146877,0.9
Llama2-70B,64,4,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,2844.116626769728,678.5906654635105,2066.6089011084214,1.0
